location,region,country,source,reason(s) for exclusion,citations,,,,,,,,,
Verona,Europe,Italy,SeroTracker,advanced economy,https://wwwnc.cdc.gov/eid/article/27/1/20-2740_article,https://bmjopen.bmj.com/content/10/10/e040036.long,,,,,,,,
Vo',Europe,Italy,SeroTracker,"advanced economy  (low population of <30,000)",https://www.nature.com/articles/s41467-021-24622-7,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3792892,supporting table S1: https://www.medrxiv.org/content/10.1101/2020.11.09.20228023v1,methodology for an earlier study: https://www.nature.com/articles/s41586-020-2488-1,methodology for an earlier study: https://www.medrxiv.org/content/10.1101/2020.04.17.20053157v1.full,,,,,
national,Europe,Ireland,SeroTracker,"advanced economy, excludes those older than 69",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.48.2001741,https://www.hpsc.ie/a-z/respiratory/coronavirus/novelcoronavirus/scopi/,seroreversion follow-up: https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab346/6311910,,,,,,,
national,Europe,Jersey,SeroTracker,advanced economy,https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%202020508%20SJ.pdf,https://www.gov.je/News/2020/Pages/Antibody-survey-report-published.aspx,https://www.gov.je/Health/Coronavirus/Health/Pages/COVID19TestingProgramme.aspx,,,,,,,
"Vilnius, Kaunas, Klaipeda, Ukmerge, Taurage, Zarasai",Europe,Lithuania,SeroTracker,advanced economy,https://www.journals.vu.lt/AML/article/view/22344,https://sam.lrv.lt/lt/naujienos/pristatyti-pirminiai-populiacijos-tyrimo-rezultatai,https://www.lrt.lt/en/news-in-english/19/1230480/under-3-percent-of-lithuanian-population-had-coronavirus-study,https://www.lrt.lt/mediateka/irasas/2000121174/tyrimas-atskleide-kad-koronavirusu-persirgo-iki-triju-procentu-tirtu-savivaldybiu-gyventoju,assay may have lower specificity than the study claimed: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7734239/pdf/rpsp-44-e149.pdf,,,,,
national,Europe,Luxembourg,SeroTracker,"advanced economy, non-representative sample (non-probabilistic)",https://www.medrxiv.org/content/10.1101/2020.05.11.20092916v1,https://researchluxembourg.lu/2020/06/03/con-vince-study-results-second-testing-phase/,https://researchluxembourg.lu/covid-19-taskforce/con-vince/,,,,,,,
national,Europe,Monaco,Google,"wealthy microstate, insufficient information on assay","""What results has the [...]""  :  http://web.archive.org/web/20201111050058/https://covid19.mc/en/covid-19-informations-gouvernement-princier/tout-sur-les-tests-diagnostics/",https://web.archive.org/web/20201111051456/https://pbs.twimg.com/media/EmhLPpBXIAEZg2M?format=jpg&name=small,https://twitter.com/GvtMonaco/status/1262330404851384320,https://twitter.com/GvtMonaco/status/1263880919783530501,https://twitter.com/GvtMonaco/status/1266398393125023745,https://www.tellerreport.com/news/2020-06-16-monaco-has-tested-its-population-and-the-seroprevalence-rate-is-very-low.SJ66VJ4UT8.html,,,,
national,Europe,Netherlands,SeroTracker,advanced economy,https://jech.bmj.com/content/early/2020/11/28/jech-2020-215678,https://www.rivm.nl/pienter-corona-studie/resultaten,https://www.rivm.nl/en/pienter-corona-study/results,phase 3:  https://www.sciencedirect.com/science/article/pii/S2667038021000375,https://www.medrxiv.org/content/10.1101/2021.03.29.21254334v1,https://www.medrxiv.org/content/10.1101/2021.02.10.21251477v1.full,https://wwwnc.cdc.gov/eid/article/27/2/20-2999_article,IFR calculations:  https://www.rivm.nl/coronavirus-covid-19/ziekte,,
Amsterdam,Europe,Netherlands,SeroTracker,"advanced economy, insufficient evidence of representative sampling",https://www.medrxiv.org/content/10.1101/2021.03.08.21252788v1.full-text,https://www.medrxiv.org/content/10.1101/2021.07.21.21260956v1.full,,,,,,,,
national,Europe,Norway,SeroTracker,advanced economy,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.13.2100376,https://www.medrxiv.org/content/10.1101/2021.03.23.21253730v1.full,https://uit.no/nyheter/artikkel?p_document_id=725394,https://uit.no/project/koronaimmunitet,https://www.norceresearch.no/en/news/norce-researchers-contribute-to-the-mapping-of-covid-19-prevalence-and-changes-in-norway,https://norwaytoday.info/everyday/arctic-university-launches-antibody-study-hopes-to-determine-lethality-of-the-virus-in-norway/,,,,
Oslo,Europe,Norway,Twitter,"advanced economy, non-representative sample (sample biased towards parents with children)",week 30 and earlier  : https://web.archive.org/web/20210124021901/https://www.fhi.no/studier/prevalensundersokelser-korona/resultat---moba/,https://www.fhi.no/studier/prevalensundersokelser-korona/introduksjon-til-koronastudiene/,https://www.fhi.no/studier/norflu-korona-antistoff/,https://twitter.com/F_Lund_Johansen/status/1260824310148730881,https://helsedata.no/no/forvaltere/folkehelseinstituttet/moba/,,,,,
Poznań,Europe,Poland,SeroTracker,non-representative sample,https://www.mdpi.com/2076-393X/9/6/541/htm,https://www.medrxiv.org/content/10.1101/2021.03.29.21254544v1.full,,,,,,,,
national,Europe,Portugal,SeroTracker,"advanced economy, non-representative sample (non-probabilistic)",https://actamedicaportuguesa.com/revista/index.php/amp/article/view/15122/6245,http://www.insa.min-saude.pt/wp-content/uploads/2020/07/ISN_COVID19_Relatorio_31_07_2020.pdf,https://www.sns.gov.pt/noticias/2021/03/05/covid-19-inquerito-serologico-do-insa/?utm_source=rss&utm_medium=rss&utm_campaign=covid-19-inquerito-serologico-do-insa,,,,,,,
national (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,"non-representative sample from Rospotrebnadzor study; dubious on whether ≥35% of sample reports as male, given regional analyses below; active recruitment of volunteers online",https://www.iimmun.ru/iimm/article/view/1684#,https://www.mdpi.com/1999-4915/13/8/1648/htm,,,,,,,,
Chelyabinsk and Sverdlovsk regions (performed by Rospotrebnadzor),Europe,Russia,Google,non-representative sample from Rospotrebnadzor study; active recruitment of volunteers online (see national study),https://www.epidemvac.ru/jour/article/view/1283,,,,,,,,,
Irkutsk region (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://journal.microbe.ru/jour/article/view/1370,https://www.actabiomedica.ru/jour/article/view/2997,,,,,,,,
Kaliningrad region (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://journal.niidi.ru/jofin/article/view/1145,,,,,,,,,
Khabarovsk Krai region,Europe,Russia,Google,non-representative sample from Rospotrebnadzor study; active recruitment of volunteers online (see national study),https://microbiol.elpub.ru/jour/article/view/983?locale=ru_RU#tab1,https://www.researchgate.net/publication/350370335_The_seroprevalence_of_SARS-CoV-2_among_residents_of_the_Khabarovsk_Krai_during_the_COVID-19_epidemic,,,,,,,,
Krasnoyarsk region (performed by Rospotrebnadzor),Europe,Russia,Google,non-representative sample from Rospotrebnadzor study; active recruitment of volunteers online (see national study),https://www.actabiomedica.ru/jour/article/view/2872,,,,,,,,,
"Leningrad region, excludes St. Petersburg (performed by Rospotrebnadzor)",Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://journal.microbe.ru/jour/article/view/1371/1150,https://journal.microbe.ru/jour/article/view/1371,,,,,,,,
Murmansk region (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://hiv.bmoc-spb.ru/jour/article/view/605#,,,,,,,,,
Moscow (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://www.phdynasty.ru/en/catalog/magazines/infectious-diseases/2020/volume-18-issue-4/40419,,,,,,,,,
Novosibirsk region (performed by Rospotrebnadzor),Europe,Russia,Google,non-representative sample from Rospotrebnadzor study; active recruitment of volunteers online (see national study),https://virusjour.elpub.ru/jour/article/view/539,,,,,,,,,
Saint Petersburg (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; borderline on whether ~35% of the sample reports as male; active recruitment of volunteers online (see national study),https://journal.microbe.ru/jour/article/view/1372/1151#,https://journal.microbe.ru/jour/article/view/1372,https://covid19-preprints.microbe.ru/article/56,https://covid19-preprints.microbe.ru/files/62,,,,,,
Saratov region (performed by Rospotrebnadzor),Europe,Russia,Google,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://journal.microbe.ru/jour/article/view/1413?locale=en_US,,,,,,,,,
Tatarstan (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://microbiol.elpub.ru/jour/article/view/940?locale=en_US,,,,,,,,,
Tyumen region (performed by Rospotrebnadzor),Europe,Russia,SeroTracker,non-representative sample from Rospotrebnadzor study; failed to reach ≥35% of sample reporting as male; active recruitment of volunteers online (see national study),https://microbiol.elpub.ru/jour/article/view/890?locale=en_US#,,,,,,,,,
national,Europe,Slovenia,SeroTracker,advanced economy,https://www.sciencedirect.com/science/article/pii/S1198743X21001440,http://file.biolab.si/files/2020-12-11-covid-19-slovenija-porocilo-koncno.pdf,https://www.researchgate.net/publication/342873067_Low_Prevalence_of_Active_and_Past_SARS-CoV-2_Infections_in_Slovenia_A_Nationwide_Population_Study_on_Probability-Based_Sample,https://www.gov.si/en/news/2020-05-06-first-study-carried-out-on-herd-immunity-of-the-population-in-the-whole-territory-of-slovenia/,https://clinicaltrials.gov/ct2/show/NCT04376996,https://www.gov.si/en/news/2020-04-24-national-covid-19-prevalence-survey/,"PCR, but used same sampling framework: https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30419-5/fulltext",,,
national,Europe,Spain,SeroTracker,advanced economy,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31483-5/fulltext,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/15.12151220163348113.pdf,https://www.bmj.com/content/371/bmj.m4509,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)32266-2/fulltext#sec1,https://portalcne.isciii.es/enecovid19/informes/informe_final.pdf,https://portalcne.isciii.es/enecovid19/,,,,
Arganda del Rey,Europe,Spain,SeroTracker,"advanced economy, insufficient information on assay",https://www.ayto-arganda.es/noticias/resultados-de-la-tercera-y-ultima-tanda-del-estudio-serologico-de-prevalencia-de-arganda-del-rey/,https://www.ayto-arganda.es/noticias/comienza-la-primera-tanda-del-estudio-serologico-de-prevalencia-de-arganda-del-rey/,https://www.ayto-arganda.es/noticias/desde-este-lunes-se-esta-realizando-la-segunda-tanda-del-estudio-serologico-de-prevalencia/,https://www.ayto-arganda.es/noticias/hoy-arranca-tercera-y-ultima-tanda-del-estudio-serologico-de-prevalencia-donde-habra-citas-para-personas-voluntarias/,,,,,,
Barcelona: community area,Europe,Spain,SeroTracker,"advanced economy, insufficient evidence of representative sampling (unclear if GP practices cover a representative majority of the population)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7797756/,,,,,,,,,
Cantabria,Europe,Spain,SeroTracker,advanced economy,https://www.nature.com/articles/s41598-021-89236-x,,,,,,,,,
Catalonia,Europe,Spain,SeroTracker,"advanced economy, non-representative sample",https://www.researchsquare.com/article/rs-448363/v1,,,,,,,,,
Cendea de Cizur (in Navarra),Europe,Spain,SeroTracker,"advanced economy, insufficient evidence of representative sampling",https://www.isglobal.org/en_GB/-/coronavirus-nuevos-datos-de-seroprevalencia-para-un-municipio-en-navarra,https://www.isglobal.org/en/-/encuesta-serologica-cendea-de-cizur,https://www.isglobal.org/en/healthisglobal/-/custom-blog-portlet/isglobal-y-la-universidad-de-navarra-ponen-en-marcha-un-nuevo-estudio-de-seroprevalencia-de-la-covid-19-en-la-cendea-de-ciz-2/8000927/11904,https://www.isglobal.org/en/-/isglobal-y-el-hospital-clinic-inician-dos-nuevos-estudios-para-combatir-la-covid-19,https://www.youtube.com/watch?v=Nraa08aawjY&list=PLpt0ABnq8FHL3dvFQXQ9dJIC7eabUZlpr,,,,,
Galicia,Europe,Spain,Google,advanced economy,cited in: https://www.nature.com/articles/s41598-021-00342-2,https://www.xunta.gal/hemeroteca/-/nova/104214/estudio-seroprevalencia-frente-covid-19-estima-que-galicia-estaria-inmunizada?langId=es_ES,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flavozdegalicia%2Fvideos%2Fla-xunta-presenta-el-estudio-de-seroprevalencia-frente-al-covid-19-en-galicia%2F257095192156070%2F,https://www.xunta.gal/hemeroteca/-/nova/103722/sanidad-prepara-segunda-ola-tests-seroprevalencia-con-que-completara-estudio?langId=es_ES,,,,,,
Torrejón de Ardoz,Europe,Spain,SeroTracker,advanced economy,https://www.ayto-torrejon.es/index.php/noticia/nota-de-prensa/el-estudio-de-seroprevalencia-de-torrejon-de-ardoz-revela-una-prevalencia-de,https://www.ayto-torrejon.es/sites/default/files/inline-files/dossier%20estudio%20Torrej%C3%B3n.pdf,https://www.ayto-torrejon.es/index.php/revista-plaza-mayor/2/jun-2020,https://www.ayto-torrejon.es/sites/default/files/inline-files/Consentimiento%20estudio%20epidemiol%C3%B3gico%2028-05-2020.pdf,,,,,,
Norrbotten County,Europe,Sweden,SeroTracker,"advanced economy, excludes those older than 80",https://web.archive.org/web/20200623071108/http://norrbotten.se/sv/Halsa-och-sjukvard/Smittskydd-i-Norrbotten/Information-om-nya-coronaviruset/The-seroprevalence-of-covid-19-antibodies-in-Norrbotten-County-Sweden/,https://www.norrbotten.se/Halsa-och-sjukvard/Smittskydd-i-Norrbotten/Information-om-nya-coronaviruset/,,,,,,,,
Stockholm County,Europe,Sweden,SeroTracker,"advanced economy, excludes those older than 74",https://www.nature.com/articles/s41467-021-23893-4,https://www.medrxiv.org/content/10.1101/2020.07.01.20143966v1.full,https://www.kth.se/en/aktuellt/nyheter/10-procent-av-stockholmarna-smittade-1.980727,,,,,,,
Stockholm County: Norra Djurgårdsstaden + Tensta areas,Europe,Sweden,SeroTracker,"advanced economy, non-representative sample, failed to reach ≥35% of sample reporting as female in Tensta",https://www.tandfonline.com/doi/full/10.1080/20008686.2020.1806505,,,,,,,,,
Stockholm County: Rinkeby-Kista district,Europe,Sweden,Twitter,"advanced economy  (low population of <30,000)",https://www.folkhalsomyndigheten.se/publicerat-material/publikationsarkiv/f/forekomsten-av-antikroppar-mot-sars-cov-2-i-stadsdelen-rinkeby-kista-stockholm-2224-juni-2020/,https://www.folkhalsomyndigheten.se/contentassets/2cf102cd299c4382b9a0447dc0626356/forekomsten-antikroppar-rinkeby-kista.pdf,https://www.sll.se/verksamhet/halsa-och-vard/nyheter-halsa-och-vard/2020/06/antikroppstestning-genomfors-i-rinkeby-kista/?_t_id=jn7cuiNjRit3scHO1EqPDA%3d%3d&_t_uuid=FsBLb5TmQNSPZIw7acBlVw&_t_q=Rinkeby-Kista+covid-19&_t_tags=language%3asv%2csiteid%3a8824540f-e7eb-44a0-94f3-c48a0b63798c%2candquerymatch&_t_hit.id=PublicWebv2_Web_Apps_News_NewsItemPageType/_1cf3623a-38d8-4081-a402-35234d0ff5d0_sv&_t_hit.pos=1,,,,,,,
Basel: Basel-Landschaft canton (CI = Corona Immunitas),Europe,Switzerland,Google,"advanced economy, insufficient information on assay",https://www.corona-immunitas.ch/en/,page 12: https://web.archive.org/web/20201019035807/https://static1.squarespace.com/static/5ecec1e784a2b8398ca91ec9/t/5f6c64df2e37aa70f99f716e/1600939253106/200924_Slides_Corona+Immunitas+at+FOPH.pdf,https://www.corona-immunitas.ch/en/program/studies/d1-covco-basel/,https://www.swisstph.ch/en/projects/covcobasel/,https://www.bs.ch/nm/2020-coronavirus-studie-zu-auswirkungen-und-antikoerpern-in-beiden-basel-gd.html,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,,,,
Basel: Basel-Stadt / Basel-City canton (CI),Europe,Switzerland,Google,"advanced economy, insufficient information on assay",https://www.corona-immunitas.ch/en/,page 12: https://web.archive.org/web/20201019035807/https://static1.squarespace.com/static/5ecec1e784a2b8398ca91ec9/t/5f6c64df2e37aa70f99f716e/1600939253106/200924_Slides_Corona+Immunitas+at+FOPH.pdf,https://www.corona-immunitas.ch/en/program/studies/d1-covco-basel/,https://www.swisstph.ch/en/projects/covcobasel/,https://www.bs.ch/nm/2020-coronavirus-studie-zu-auswirkungen-und-antikoerpern-in-beiden-basel-gd.html,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,,,,
Bern (CI),Europe,Switzerland,Google,"advanced economy, insufficient information on assay",https://www.unibe.ch/news/media_news/media_relations_e/media_releases/2021/media_releases_2021/only_14_of_the_bernese_population_have_antibodies_against_coronavirus/index_eng.html,https://www.unibe.ch/actualits/mdias/media_relations_f/communiqus_de_presse/2021/communiqus_de_presse_2021/seulement_14_de_la_population_bernoise_possde_des_anticorps_contre_le_coronavirus/index_fra.html,https://www.corona-immunitas.ch/en/,https://www.corona-immunitas.ch/en/program/studies/g1-corona-immunitas-bern/,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,,,,,
Fribourg (CI),Europe,Switzerland,SeroTracker,advanced economy,page 12: https://web.archive.org/web/20201019035807/https://static1.squarespace.com/static/5ecec1e784a2b8398ca91ec9/t/5f6c64df2e37aa70f99f716e/1600939253106/200924_Slides_Corona+Immunitas+at+FOPH.pdf,https://www.corona-immunitas.ch/en/,https://www.unifr.ch/med/imf/fr/assets/public/images/COVID-19/2020-PopHealthLab-Corona-Immunitas-E1.pdf,https://www.corona-immunitas.ch/en/program/studies/c1-corona-immunitas-fribourg/,https://www3.unifr.ch/med/imf/fr/news/covid19/corona-immunitas/,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,,,,
Geneva (CI),Europe,Switzerland,SeroTracker,advanced economy,table S2: https://www.medrxiv.org/content/10.1101/2020.12.16.20248180v1.supplementary-material,https://www.corona-immunitas.ch/en/,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31304-0/fulltext,https://journals.sagepub.com/doi/10.1177/14034948211048050,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30584-3/fulltext,page 12: https://web.archive.org/web/20201019035807/https://static1.squarespace.com/static/5ecec1e784a2b8398ca91ec9/t/5f6c64df2e37aa70f99f716e/1600939253106/200924_Slides_Corona+Immunitas+at+FOPH.pdf,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.43.2100830,,
Luzern (CI),Europe,Switzerland,Google,"advanced economy, insufficient information on assay",https://www.corona-immunitas.ch/en/,https://www.corona-immunitas.ch/en/program/studies/h1-corona-immunitas-luzern/,https://www.corona-immunitas.ch/en/news/regional-update-march-2021/,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,,,,,,
Neuchâtel canton (CI),Europe,Switzerland,SeroTracker,advanced economy,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/coronaimmunitas/Pages/R%c3%a9sultats-de-l'%c3%a9tude.aspx,https://www.corona-immunitas.ch/en/,https://www.corona-immunitas.ch/en/program/studies/b2-corona-immunitas-neuchatel/,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/_covid_CoronaImmunitas_InformationDetaillee.pdf,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,assay characteristics: https://jvi.asm.org/content/95/3/e01828-20,,,,
"Ticino [Cantonal Doctor's office, not CI]",Europe,Switzerland,Google,advanced economy,https://smw.ch/article/doi/smw.2021.w30116,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=188153&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=bea1ca89d443e685b2a9079f42186b3d,https://www4.ti.ch/dss/dsp/covid19/popolazione/situazione-epidemiologica/,https://www.ibsagroup.com/media/news/IBSA-donates-serology-study-development-covid-19.html,,,,,,
Ticino (CI),Europe,Switzerland,SeroTracker,advanced economy,page 12: https://web.archive.org/web/20201019035807/https://static1.squarespace.com/static/5ecec1e784a2b8398ca91ec9/t/5f6c64df2e37aa70f99f716e/1600939253106/200924_Slides_Corona+Immunitas+at+FOPH.pdf,https://www.corona-immunitas.ch/en/,https://www.corona-immunitas.ch/update/corona-immunitas-ticino-insieme-per-reagire-al-via-la-seconda-fase-del-progetto,https://www.corona-immunitas-ticino.ch/,antibody test: https://www2.supsi.ch/cms/corona-immunitas-ticino/wp-content/uploads/sites/49/2021/02/Documento-infografico-per-linterpretazione-del-risultato-del-test-anticorpale-di-Corona-Immunitas-Ticino-.pdf,https://www.biomed.usi.ch/en/feeds/8913,https://www.corona-immunitas.ch/en/program/studies/f1-corona-immunitas-ticino/,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,,
Val Mesolcina,Europe,Switzerland,SeroTracker,"advanced economy  (low population of <30,000)",https://www.mdpi.com/2076-0817/10/4/465/htm,,,,,,,,,
Vaud (CI),Europe,Switzerland,SeroTracker,advanced economy,https://www.corona-immunitas.ch/en/,https://www.corona-immunitas.ch/en/program/studies/b1-serocovid-general-population/,page 12: https://web.archive.org/web/20201019035807/https://static1.squarespace.com/static/5ecec1e784a2b8398ca91ec9/t/5f6c64df2e37aa70f99f716e/1600939253106/200924_Slides_Corona+Immunitas+at+FOPH.pdf,https://jvi.asm.org/content/early/2020/10/30/JVI.01828-20,"""Fenwick"" in Serotracker: https://www.medrxiv.org/content/10.1101/2020.11.17.20233460v2.supplementary-material",table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,https://www.unisante.ch/fr/unisante/actualites/covid-19-7-vaudoises-infectees,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/port-du-masque-quarantaine-tests-ems-conseils-sante-symptomes-etc/coronavirus-serologies/,https://www.vd.ch/toutes-les-actualites/communiques-de-presse/detail/communique/les-resultats-preliminaires-de-letude-menee-aupres-de-la-population-du-canton-pour-comprendre-comme/,https://serocovid.unisante.ch/
Zurich (CI),Europe,Switzerland,Google,"advanced economy, start-week and end-week not specified",assay: https://smw.ch/article/doi/smw.2022.w30122,page 12: https://web.archive.org/web/20201019035807/https://static1.squarespace.com/static/5ecec1e784a2b8398ca91ec9/t/5f6c64df2e37aa70f99f716e/1600939253106/200924_Slides_Corona+Immunitas+at+FOPH.pdf,https://www.corona-immunitas.ch/en/,https://www.corona-immunitas.ch/en/program/studies/e1-corona-immunitas-zurich/,https://www.ebpi.uzh.ch/en/translational_research/community_and_health/seroprevalence_corona_immunitas.html,https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2021/02/zuercher-studien-zu-seropraevalenz-von-spitex--und-heimpersonal-sowie-zu-immunantwort-und-langzeitfolgen-bei-corona-positiv-getesteten.html,table 1: https://link.springer.com/article/10.1007/s00038-020-01494-0,,,
an orthodox Jewish community,Europe,United Kingdom,SeroTracker,"advanced economy, insufficient evidence of representative sampling",https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00104-6/fulltext,https://www.medrxiv.org/content/10.1101/2021.02.01.21250839v1.full-text,,,,,,,,
"England (REACT-2), national",Europe,United Kingdom,SeroTracker,advanced economy,https://www.nature.com/articles/s41467-021-21237-w,https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00075-2/fulltext,https://www.medrxiv.org/content/10.1101/2020.08.12.20173690v2,https://www.imperial.ac.uk/medicine/research-and-impact/groups/react-study/the-react-2-programme/,https://www.medrxiv.org/content/10.1101/2020.10.26.20219725v1.full,https://www.imperial.ac.uk/medicine/research-and-impact/groups/react-study/real-time-assessment-of-community-transmission-findings/,https://www.imperial.ac.uk/medicine/research-and-impact/groups/react-study/,https://www.bmj.com/content/372/bmj.n423,,
"England (ONS), national",Europe,United Kingdom,SeroTracker,advanced economy,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/28may2020#antibody-tests-for-covid-19,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/weekly-updates,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
"Great Britain (UK BioBank), 3 national studies for England + Scotland + Wales",Europe,United Kingdom,SeroTracker,advanced economy,figure 1 and page 16:  https://www.ukbiobank.ac.uk/media/x0nd5sul/ukb_serologystudy_report_revised_6months_jan21.pdf,https://www.gov.uk/government/statistics/uk-biobank-covid-19-antibody-study-final-results,https://www.ukbiobank.ac.uk/media/s3af0k5q/ukb_serologystudy_month1_report.pdf,https://www.ukbiobank.ac.uk/learn-more-about-uk-biobank/covid-19-hub,https://www.ukbiobank.ac.uk/enable-your-research/about-our-data/covid-19-data,https://www.gov.uk/government/publications/uk-biobank-covid-19-seroprevalence-study-round-1-results/uk-biobank-covid-19-seroprevalence-study-round-1-results#future-results,,,,
"Northern Ireland (ONS), national",Europe,United Kingdom,SeroTracker,advanced economy,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/november2020,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/weekly-updates,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
"Scotland (ONS), national",Europe,United Kingdom,SeroTracker,advanced economy,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/november2020,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/longer-articles,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
"Wales (ONS), national",Europe,United Kingdom,SeroTracker,advanced economy,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/november2020,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/weekly-updates,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
